fname_c1,fname_c2,lname_c1,lname_c2,by,bm,bd,rec_id,ent_id
FRANK,NA,MUELLER,NA,1967,9,27,1,3606
MARTIN,NA,SCHWARZ,NA,1967,2,17,2,2560
HERBERT,NA,ZIMMERMANN,NA,1961,11,6,3,3892
HANS,NA,SCHMITT,NA,1945,8,14,4,329
UWE,NA,KELLER,NA,2000,7,5,5,1994
DANIEL,NA,HEINRICH,NA,1967,5,6,6,2330
MARTIN,NA,ZIMMERMANN,NA,1982,11,2,7,4420
ANDREAS,BENJAMIN,BERGMANN,NA,1989,9,13,8,2534
DIETER,NA,SCHUSTER,NA,1974,4,19,9,3076
MANFRED,NA,SCHMIDT,NA,1979,7,11,10,4305
PATRICK,NA,WOLF,NA,1988,8,22,11,4168
STEFAN,NA,RICHTER,NA,1943,3,22,12,3146
KLAUS,NA,WINKLER,NA,1974,8,22,13,3578
GERHARD,NA,WALTER,NA,1938,8,15,14,23
WERNER,HELMUT,LORENZ,NA,1958,9,18,15,2595
THORSTEN,NA,LANGE,NA,1965,3,29,16,2296
KURT,NA,MUELLER,NA,1966,9,12,17,223
RICHARD,NA,SCHMIDT,NA,1984,1,31,18,2346
ANDREAS,NA,SCHAEFER,NA,1930,4,29,19,3016
KAI,NA,HARTMANN,NA,1963,11,26,20,1860
GERHARD,NA,VOGEL,NA,1986,7,8,21,3164
GUENTHER,NA,MUELLER,NA,1994,11,17,22,1926
CARSTEN,NA,MUELLER,WAGNER,1957,5,27,23,4352
MARCO,NA,ALBRECHT,NA,2008,11,7,24,488
PETER,NA,KRAEMER,NA,1929,8,7,25,3224
PATRICK,NA,WEBER,NA,2006,12,2,26,4027
WOLFGANG,ERNST,GUENTHER,NA,1929,10,12,27,1878
JOACHIM,NA,KUEHN,NA,1994,11,21,28,2072
ANDREAS,NA,WALTER,NA,1954,11,6,29,779
KURT,NA,SCHMITT,NA,1968,12,22,30,1018
MARTIN,NA,FISCHER,NA,1996,7,5,31,2905
GERHARD,NA,SCHMITT,NA,2000,1,31,32,3671
JAN,NA,THOMAS,BECKER,2002,12,22,33,218
BERND,NA,MAIER,NA,1998,8,20,34,3914
ANDREAS,NA,WEBER,NA,1955,3,1,35,717
CHRISTIAN,NA,BECK,NA,1967,10,3,36,3851
THOMAS,NA,SOMMER,NA,1986,9,5,37,2692
HORSTX,NA,MUELLER,NA,1991,9,7,38,1112
MARK,NA,MUELLER,NA,1965,2,9,39,452
STEFAN,NA,SCHUMACHER,NA,1983,5,19,40,3432
CHRISTOPH,NA,MAYER,NA,2006,3,29,41,1594
MARKUS,NA,SCHULZ,NA,1942,9,29,42,4044
HEINRICH,NA,HUBER,NA,1977,1,14,43,454
PETER,NA,KUHN,NA,1981,3,20,44,539
WOLFGANG,NA,KAISER,NA,1934,12,26,45,2643
JOERG,PETER,BECK,NA,1996,10,8,46,63
PATRICK,NA,SCHMID,NA,1945,6,5,47,1722
WERNER,NA,GUENTHER,NA,1956,1,25,48,1971
MANFRED,NA,WEISS,NA,1925,11,8,49,1701
JOHANNES,NA,MUELLER,NA,1974,2,24,50,1492
MATTHIAS,NA,MUELLLER,NA,1993,1,24,51,1005
MICHAEL,NA,BECKER,NA,1998,10,30,52,4402
GERD,NA,LORENZ,NA,1940,5,23,53,3303
OTTO,NA,SCHUMACHER,NA,1963,3,27,54,3999
FRANK,NA,PETERS,NA,1990,7,1,55,4339
BERND,NA,BAUER,NA,1929,6,4,56,3672
HORST,NA,MUELLER,NA,1941,11,6,57,1515
JOERG,NA,SCHROEDER,NA,1955,9,25,58,1579
JOERG,NA,MUELLER,NA,1964,12,14,59,4190
HELMUT,NA,MAIER,NA,1970,3,24,60,3382
WALTER,NA,KLEIN,NA,2008,8,2,61,3284
JUERGEN,NA,SCHNEIDER,NA,1951,2,13,62,1642
HELMUT,NA,PETERS,NA,2007,9,3,63,1951
STEFAN,NA,KLEIN,NA,1986,11,15,64,3126
SVEN,NA,KRUEGER,NA,1965,8,19,65,3702
DENNIS,NA,KRAUSE,NA,1997,8,15,66,929
WALTER,HEINZ,SCHREIBER,NA,1978,5,27,67,4454
WOLFGANG,NA,RICHTER,NA,1980,2,7,68,82
GERHARD,NA,RICHTER,NA,1956,8,28,69,2519
MICHAEL,NA,SCHROEDER,NA,1955,12,8,70,2521
HOLGER,NA,MEYER,NA,1967,2,24,71,1988
